mist_paper_id,full-text annotation,source,license,license/copyright notice,title,creators,journal,publisher
ACL_2020.acl-main.519,False,https://aclanthology.org/2020.acl-main.519,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,A Unified {MRC} Framework for Named Entity Recognition,"Xiaoya Li, Jingrong Feng, Yuxian Meng, Qinghong Han, Fei Wu, Jiwei Li",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.544,False,https://aclanthology.org/2020.acl-main.544,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Evidence-Aware Inferential Text Generation with Vector Quantised Variational {A}uto{E}ncoder,"Daya Guo, Duyu Tang, Nan Duan, Jian Yin, Daxin Jiang, Ming Zhou",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.628,False,https://aclanthology.org/2020.acl-main.628,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Sentence Meta-Embeddings for Unsupervised Semantic Textual Similarity,"Nina Poerner, Ulli Waltinger, Hinrich Sch{\""u}tze",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.665,False,https://aclanthology.org/2020.acl-main.665,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,{S}hape of Synth to Come: {W}hy We Should Use Synthetic Data for {E}nglish Surface Realization,"Henry Elder, Robert Burke, Alexander O{'}Connor, Jennifer Foster",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.69,False,https://aclanthology.org/2020.acl-main.69,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Syn-{QG}: Syntactic and Shallow Semantic Rules for Question Generation,"Kaustubh Dhole, Christopher D. Manning",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.718,False,https://aclanthology.org/2020.acl-main.718,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Multi-Sentence Argument Linking,"Seth Ebner, Patrick Xia, Ryan Culkin, Kyle Rawlins, Benjamin Van Durme",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.735,False,https://aclanthology.org/2020.acl-main.735,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Joint {C}hinese Word Segmentation and Part-of-speech Tagging via Two-way Attentions of Auto-analyzed Knowledge,"Yuanhe Tian, Yan Song, Xiang Ao, Fei Xia, Xiaojun Quan, Tong Zhang, Yonggang Wang",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.75,False,https://aclanthology.org/2020.acl-main.75,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,{``}The Boating Store Had Its Best Sail Ever{''}: Pronunciation-attentive Contextualized Pun Recognition,"Yichao Zhou, Jyun-Yu Jiang, Jieyu Zhao, Kai-Wei Chang, Wei Wang",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.762,False,https://aclanthology.org/2020.acl-main.762,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Let Me Choose: From Verbal Context to Font Selection,"Amirreza Shirani, Franck Dernoncourt, Jose Echevarria, Paul Asente, Nedim Lipka, Thamar Solorio",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.764,False,https://aclanthology.org/2020.acl-main.764,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Predicting Performance for Natural Language Processing Tasks,"Mengzhou Xia, Antonios Anastasopoulos, Ruochen Xu, Yiming Yang, Graham Neubig",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.77,False,https://aclanthology.org/2020.acl-main.77,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Fine-grained Interest Matching for Neural News Recommendation,"Heyuan Wang, Fangzhao Wu, Zheng Liu, Xing Xie",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.84,False,https://aclanthology.org/2020.acl-main.84,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,A Methodology for Creating Question Answering Corpora Using Inverse Data Annotation,"Jan Deriu, Katsiaryna Mlynchyk, Philippe Schl{\""a}pfer, Alvaro Rodrigo, Dirk von Gr{\""u}nigen, Nicolas Kaiser, Kurt Stockinger, Eneko Agirre, Mark Cieliebak",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.92,False,https://aclanthology.org/2020.acl-main.92,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,A Diverse Corpus for Evaluating and Developing {E}nglish Math Word Problem Solvers,"Shen-yun Miao, Chao-Chun Liang, Keh-Yih Su",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.97,False,https://aclanthology.org/2020.acl-main.97,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,{DTCA}: Decision Tree-based Co-Attention Networks for Explainable Claim Verification,"Lianwei Wu, Yuan Rao, Yongqiang Zhao, Hao Liang, Ambreen Nazir",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.eamt-1.18,False,https://aclanthology.org/2020.eamt-1.18,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,With or without you? Effects of using machine translation to write flash fiction in the foreign language,Nora Aranberri,Proceedings of the 22nd Annual Conference of the European Association for Machine Translation,European Association for Machine Translation
ACL_2020.ecomnlp-1.2,False,https://aclanthology.org/2020.ecomnlp-1.2,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Multi-label classification of promotions in digital leaflets using textual and visual information,"Roberto Arroyo, David Jim{\'e}nez-Cabello, Javier Mart{\'\i}nez-Cebri{\'a}n",Proceedings of Workshop on Natural Language Processing in E-Commerce,Association for Computational Linguistics
ACL_2020.lrec-1.125,False,https://aclanthology.org/2020.lrec-1.125,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,{D}isc{S}ense: Automated Semantic Analysis of Discourse Markers,"Damien Sileo, Tim Van de Cruys, Camille Pradel, Philippe Muller",Proceedings of the Twelfth Language Resources and Evaluation Conference,European Language Resources Association
ACL_2020.lrec-1.533,False,https://aclanthology.org/2020.lrec-1.533,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,{E}:Calm Resource: a Resource for Studying Texts Produced by {F}rench Pupils and Students,"Lydia-Mai Ho-Dac, Serge Fleury, Claude Ponton",Proceedings of the Twelfth Language Resources and Evaluation Conference,European Language Resources Association
ACL_2020.privatenlp-1.3,False,https://aclanthology.org/2020.privatenlp-1.3,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Identifying and Classifying Third-party Entities in Natural Language Privacy Policies,"Mitra Bokaie Hosseini, Pragyan K C, Irwin Reyes, Serge Egelman",Proceedings of the Second Workshop on Privacy in NLP,Association for Computational Linguistics
ACL_2020.udw-1.22,False,https://aclanthology.org/2020.udw-1.22,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Dependency annotation of noun incorporation in polysynthetic languages,"Francis Tyers, Karina Mishchenkova",Proceedings of the Fourth Workshop on Universal Dependencies (UDW 2020),Association for Computational Linguistics
ACL_2021.hcinlp-1.2,False,https://aclanthology.org/2021.hcinlp-1.2,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Spellchecking for Children in Web Search: a Natural Language Interface Case-study,"Casey Kennington, Jerry Alan Fails, Katherine Landau Wright, Maria Soledad Pera",Proceedings of the First Workshop on Bridging Human{--}Computer Interaction and Natural Language Processing,Association for Computational Linguistics
ACL_D14-1002,True,https://aclanthology.org/D14-1002,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Modeling Interestingness with Deep Neural Networks,"Jianfeng Gao, Patrick Pantel, Michael Gamon, Xiaodong He, Li Deng",Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing ({EMNLP}),Association for Computational Linguistics
ACL_D14-1003,True,https://aclanthology.org/D14-1003,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Translation Modeling with Bidirectional Recurrent Neural Networks,"Martin Sundermeyer, Tamer Alkhouli, Joern Wuebker, Hermann Ney",Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing ({EMNLP}),Association for Computational Linguistics
ACL_D14-1004,True,https://aclanthology.org/D14-1004,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,A Neural Network Approach to Selectional Preference Acquisition,Tim Van de Cruys,Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing ({EMNLP}),Association for Computational Linguistics
ACL_D14-1005,True,https://aclanthology.org/D14-1005,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Learning Image Embeddings using Convolutional Neural Networks for Improved Multi-Modal Semantics,"Douwe Kiela, L{\'e}on Bottou",Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing ({EMNLP}),Association for Computational Linguistics
ACL_D14-1006,True,https://aclanthology.org/D14-1006,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Identifying Argumentative Discourse Structures in Persuasive Essays,"Christian Stab, Iryna Gurevych",Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing ({EMNLP}),Association for Computational Linguistics
ACL_E14-1002,True,https://aclanthology.org/E14-1002,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Undirected Machine Translation with Discriminative Reinforcement Learning,"Andrea Gesmundo, James Henderson",Proceedings of the 14th Conference of the {E}uropean Chapter of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_E14-1003,True,https://aclanthology.org/E14-1003,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Minimum Translation Modeling with Recurrent Neural Networks,"Yuening Hu, Michael Auli, Qin Gao, Jianfeng Gao",Proceedings of the 14th Conference of the {E}uropean Chapter of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_E14-1004,True,https://aclanthology.org/E14-1004,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Maximizing Component Quality in Bilingual Word-Aligned Segmentations,"Spyros Martzoukos, Christof Monz, Christophe Costa Flor{\^e}ncio",Proceedings of the 14th Conference of the {E}uropean Chapter of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_E14-1005,True,https://aclanthology.org/E14-1005,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,A Joint Model for Quotation Attribution and Coreference Resolution,"Mariana S. C. Almeida, Miguel B. Almeida, Andr{\'e} F. T. Martins",Proceedings of the 14th Conference of the {E}uropean Chapter of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_E14-1007,True,https://aclanthology.org/E14-1007,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Inducing Example-based Semantic Frames from a Massive Amount of Verb Uses,"Daisuke Kawahara, Daniel Peterson, Octavian Popescu, Martha Palmer",Proceedings of the 14th Conference of the {E}uropean Chapter of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_K15-1003,True,https://aclanthology.org/K15-1003,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,A Supertag-Context Model for Weakly-Supervised {CCG} Parser Learning,"Dan Garrette, Chris Dyer, Jason Baldridge, Noah A. Smith",Proceedings of the Nineteenth Conference on Computational Natural Language Learning,Association for Computational Linguistics
ACL_K15-1004,True,https://aclanthology.org/K15-1004,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,A Synchronous Hyperedge Replacement Grammar based approach for {AMR} parsing,"Xiaochang Peng, Linfeng Song, Daniel Gildea",Proceedings of the Nineteenth Conference on Computational Natural Language Learning,Association for Computational Linguistics
ACL_K15-1005,True,https://aclanthology.org/K15-1005,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,{AIDA}2: A Hybrid Approach for Token and Sentence Level Dialect Identification in {A}rabic,"Mohamed Al-Badrashiny, Heba Elfardy, Mona Diab",Proceedings of the Nineteenth Conference on Computational Natural Language Learning,Association for Computational Linguistics
ACL_K15-1006,True,https://aclanthology.org/K15-1006,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,An Iterative Similarity based Adaptation Technique for Cross-domain Text Classification,"Himanshu Sharad Bhatt, Deepali Semwal, Shourya Roy",Proceedings of the Nineteenth Conference on Computational Natural Language Learning,Association for Computational Linguistics
ACL_K15-1007,True,https://aclanthology.org/K15-1007,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Analyzing Optimization for Statistical Machine Translation: {MERT} Learns Verbosity, {PRO} Learns Length","Francisco Guzm{\'a}n, Preslav Nakov, Stephan Vogel",Proceedings of the Nineteenth Conference on Computational Natural Language Learning,Association for Computational Linguistics
ACL_N13-1001,True,https://aclanthology.org/N13-1001,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Model With Minimal Translation Units, But Decode With Phrases","Nadir Durrani, Alexander Fraser, Helmut Schmid",Proceedings of the 2013 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,Association for Computational Linguistics
ACL_N13-1002,True,https://aclanthology.org/N13-1002,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Beyond Left-to-Right: Multiple Decomposition Structures for {SMT},"Hui Zhang, Kristina Toutanova, Chris Quirk, Jianfeng Gao",Proceedings of the 2013 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,Association for Computational Linguistics
ACL_N13-1003,True,https://aclanthology.org/N13-1003,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Improved Reordering for Phrase-Based Translation using Sparse Features,Colin Cherry,Proceedings of the 2013 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,Association for Computational Linguistics
ACL_N13-1004,True,https://aclanthology.org/N13-1004,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Simultaneous Word-Morpheme Alignment for Statistical Machine Translation,"Elif Eyig{\""o}z, Daniel Gildea, Kemal Oflazer",Proceedings of the 2013 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,Association for Computational Linguistics
ACL_N13-1005,True,https://aclanthology.org/N13-1005,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Multi-faceted Event Recognition with Bootstrapped Dictionaries,"Ruihong Huang, Ellen Riloff",Proceedings of the 2013 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,Association for Computational Linguistics
ACL_P19-1004,False,https://aclanthology.org/P19-1004,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Do Neural Dialog Systems Use the Conversation History Effectively? An Empirical Study,"Chinnadhurai Sankar, Sandeep Subramanian, Chris Pal, Sarath Chandar, Yoshua Bengio",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1011,False,https://aclanthology.org/P19-1011,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Learning Compressed Sentence Representations for On-Device Text Processing,"Dinghan Shen, Pengyu Cheng, Dhanasekar Sundararaman, Xinyuan Zhang, Qian Yang, Meng Tang, Asli Celikyilmaz, Lawrence Carin",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1012,False,https://aclanthology.org/P19-1012,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,The (Non-)Utility of Structural Features in {B}i{LSTM}-based Dependency Parsers,"Agnieszka Falenska, Jonas Kuhn",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1018,False,https://aclanthology.org/P19-1018,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Bilingual Lexicon Induction with Semi-supervision in Non-Isometric Embedding Spaces,"Barun Patra, Joel Ruben Antony Moniz, Sarthak Garg, Matthew R. Gormley, Graham Neubig",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1022,False,https://aclanthology.org/P19-1022,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Domain Adaptive Inference for Neural Machine Translation,"Danielle Saunders, Felix Stahlberg, Adri{\`a} de Gispert, Bill Byrne",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1024,False,https://aclanthology.org/P19-1024,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Attention Guided Graph Convolutional Networks for Relation Extraction,"Zhijiang Guo, Yan Zhang, Wei Lu",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1029,False,https://aclanthology.org/P19-1029,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Self-Regulated Interactive Sequence-to-Sequence Learning,"Julia Kreutzer, Stefan Riezler",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1037,False,https://aclanthology.org/P19-1037,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Neural Text Simplification of Clinical Letters with a Domain Specific Phrase Table,"Matthew Shardlow, Raheel Nawaz",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1051,False,https://aclanthology.org/P19-1051,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Open-Domain Targeted Sentiment Analysis via Span-Based Extraction and Classification,"Minghao Hu, Yuxing Peng, Zhen Huang, Dongsheng Li, Yiwei Lv",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1059,False,https://aclanthology.org/P19-1059,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Learning from Omission,"Bill McDowell, Noah Goodman",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1077,False,https://aclanthology.org/P19-1077,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Crowdsourcing and Aggregating Nested Markable Annotations,"Chris Madge, Juntao Yu, Jon Chamberlain, Udo Kruschwitz, Silviu Paun, Massimo Poesio",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1089,False,https://aclanthology.org/P19-1089,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Finding Your Voice: The Linguistic Development of Mental Health Counselors,"Justine Zhang, Robert Filbin, Christine Morrison, Jaclyn Weiser, Cristian Danescu-Niculescu-Mizil",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1092,False,https://aclanthology.org/P19-1092,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,{HEAD}-{QA}: A Healthcare Dataset for Complex Reasoning,"David Vilares, Carlos G{\'o}mez-Rodr{\'\i}guez",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_P19-1097,False,https://aclanthology.org/P19-1097,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Argument Invention from First Principles,"Yonatan Bilu, Ariel Gera, Daniel Hershcovich, Benjamin Sznajder, Dan Lahav, Guy Moshkowich, Anael Malet, Assaf Gavron, Noam Slonim",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
